               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.054143,            0.011558,            0.011851,             0.42365,                 0.8,             0.70619,             0.33961,             0.05561,           0.0057024,           0.0053204,            0.008416,            0.008416,            0.008416
                  82,            0.065779,            0.010708,            0.012004,             0.42365,                 0.8,             0.70619,             0.33961,             0.05561,           0.0057024,           0.0053204,           0.0083962,           0.0083962,           0.0083962
                  83,            0.059405,            0.010476,            0.012638,             0.56473,             0.89568,             0.80306,             0.47077,              0.0525,           0.0051782,           0.0054183,           0.0083764,           0.0083764,           0.0083764
                  84,            0.053533,            0.010369,            0.012535,             0.55347,                0.85,             0.84137,             0.43751,            0.052791,           0.0050832,           0.0052771,           0.0083566,           0.0083566,           0.0083566
                  85,            0.057263,            0.011075,            0.011838,             0.55347,                0.85,             0.84137,             0.43751,            0.052791,           0.0050832,           0.0052771,           0.0083368,           0.0083368,           0.0083368
                  86,            0.052675,            0.010833,             0.01235,              0.9762,             0.99427,               0.995,             0.71811,            0.048066,           0.0048325,           0.0052322,            0.008317,            0.008317,            0.008317
                  87,            0.047452,            0.011711,            0.011851,              0.4901,                   1,             0.79713,             0.49122,            0.054087,           0.0051654,           0.0054672,           0.0082972,           0.0082972,           0.0082972
                  88,            0.058412,           0.0094349,            0.011028,              0.4901,                   1,             0.79713,             0.49122,            0.054087,           0.0051654,           0.0054672,           0.0082774,           0.0082774,           0.0082774
                  89,            0.052698,            0.011318,            0.011038,             0.71376,                   1,             0.95757,              0.6818,            0.045938,           0.0047784,           0.0055364,           0.0082576,           0.0082576,           0.0082576
                  90,            0.047376,            0.010068,            0.013039,             0.61488,                   1,             0.93763,              0.7514,            0.051899,           0.0049787,           0.0053728,           0.0082378,           0.0082378,           0.0082378
                  91,            0.053164,            0.010138,            0.010476,             0.61488,                   1,             0.93763,              0.7514,            0.051899,           0.0049787,           0.0053728,            0.008218,            0.008218,            0.008218
                  92,            0.052386,             0.00984,            0.013355,             0.49976,                   1,             0.85462,             0.64683,            0.048995,           0.0049734,           0.0053256,           0.0081982,           0.0081982,           0.0081982
                  93,            0.052328,            0.010215,            0.012036,             0.65237,             0.87302,             0.85943,              0.3552,            0.058541,           0.0050889,           0.0048688,           0.0081784,           0.0081784,           0.0081784
                  94,            0.062072,           0.0087791,            0.010741,             0.65237,             0.87302,             0.85943,              0.3552,            0.058541,           0.0050889,           0.0048688,           0.0081586,           0.0081586,           0.0081586
